Whse Zone,Whse Location,Avail Width (in),Avail Depth  (in),Avail Height (in),Avail Volume (in3),Designation,
SB1,1H065A,55,327,160,4620000,BULK,
SB1,1H067A,53,327,160,4452000,BULK,
SB1,1H069A,54,327,160,4536000,BULK,
SB1,1H071A,51,327,160,4284000,BULK,
SB1,1H073A,55,327,160,4620000,BULK,
SB1,1H075A,51,327,160,4284000,BULK,
SB1,1H077A,61,327,160,5124000,BULK,
SB1,1H079A,62,327,160,5208000,BULK,
SB1,1H081A,52,327,160,4368000,BULK,
SB1,1H083A,55,327,160,4620000,BULK,
SB1,1H085A,51,327,160,4284000,BULK,
SB1,1H087A,54,327,160,4536000,BULK,
SB1,1H089A,53,327,160,4452000,BULK,
SB1,1H091A,54,327,160,4536000,BULK,
SB1,1H093A,55,327,160,4620000,BULK,
SB1,1H095A,53,327,160,4452000,BULK,
SB1,1H097A,53,327,160,4452000,BULK,
SB1,1H099A,48,327,160,4032000,BULK,
SB1,1H101A,51,327,160,4284000,BULK,
SB1,1H103A,51,327,160,4284000,BULK,
SB1,1H105A,50,327,160,4200000,BULK,
SB1,1H107A,51,327,160,4284000,BULK,
SB1,1H109A,51,327,160,4284000,BULK,
SB1,1H111A,51,327,160,4284000,BULK,
SB1,1H113A,48,327,160,4032000,BULK,
SB1,1H115A,53,327,160,4452000,BULK,
SB1,1I009A,53,424,160,4452000,BULK,
SB1,1I011A,53,424,160,4452000,BULK,
SB1,1I013A,53,424,160,4452000,BULK,
SB1,1I015A,53,424,160,4452000,BULK,
SB1,1I017A,48,424,160,4032000,BULK,
SB1,1I019A,51,424,160,4284000,BULK,
SB1,1I021A,51,424,160,4284000,BULK,
SB1,1I023A,49,424,160,2751840,BULK,
SB1,1I025A,51,424,160,2864160,BULK,
SB1,1I027A,50,424,160,2808000,BULK,
SB1,1I029A,52,424,160,2920320,BULK,
SB1,1I031A,50,424,160,2808000,BULK,
SB1,1I033A,50,424,160,2808000,BULK,
SB1,1I035A,51,424,160,2864160,BULK,
SB1,1I037A,50,424,160,2808000,BULK,
SB1,1I039A,51,424,160,2864160,BULK,
SB1,1I041A,50,424,160,2808000,BULK,
SB1,1I043A,50,424,160,2808000,BULK,
SB1,1I045A,52,424,160,2920320,BULK,
SB1,1I047A,50,424,160,2808000,BULK,
SB1,1I049A,50,424,160,2808000,BULK,
SB1,1I051A,50,424,160,2808000,BULK,
SB1,1I053A,50,424,160,2808000,BULK,
SB1,1I055A,51,424,160,2864160,BULK,
SB1,1I057A,50,424,160,2808000,BULK,
SB1,1I059A,51,424,160,2864160,BULK,
SB1,1I061A,49,424,160,2751840,BULK,
SB1,1I063A,50,424,160,2808000,BULK,
SB1,1I065A,50,424,160,2808000,BULK,
SB1,1I067A,49,424,160,2751840,BULK,
SB1,1I069A,50,424,160,2808000,BULK,
SB1,1I071A,50,424,160,2808000,BULK,
SB1,1I073A,49,424,160,2751840,BULK,
SB1,1I075A,50,424,160,2808000,BULK,
SB1,1I077A,48,424,160,2695680,BULK,
SB1,1I079A,51,424,160,2864160,BULK,
SB1,1I081A,48,424,160,2695680,BULK,
SB1,1I083A,50,424,160,2808000,BULK,
SB1,1I085A,52,424,160,2920320,BULK,
SB1,1I087A,62,424,160,3481920,BULK,
SB1,1I089A,52,424,160,2920320,BULK,
SB1,1I091A,54,424,160,3032640,BULK,
SB1,1I093A,52,424,160,2920320,BULK,
SB1,1I095A,54,424,160,3032640,BULK,
SB1,1I097A,54,424,160,3032640,BULK,
SB1,1I099A,55,424,160,3088800,BULK,
SB1,1I101A,53,424,160,2976480,BULK,
SB1,1I103A,52,424,160,2920320,BULK,
SB1,1I105A,53,424,160,2976480,BULK,
SB1,1I107A,47,424,160,2639520,BULK,
SB1,1I109A,49,424,160,2751840,BULK,
SB1,1I111A,51,424,160,2864160,BULK,
SB1,1I113A,49,424,160,2751840,BULK,
SB1,1I115A,50,424,160,2808000,BULK,
SB1,1I117A,48,424,160,2695680,BULK,
SB1,1I119A,51,424,160,2864160,BULK,
SB1,1I121A,48,424,160,2695680,BULK,
SB1,1I123A,49,424,160,2751840,BULK,
